Accel Pedal;Coolant Temp;Engine Lambda;Engine Speed;Man Air Press;Mass Air Flow OBD;Rel Thrott Pos OBD;Spark Advance;Fuel Inj Amt
28.5;88;1;1673.2;89.5;23.4;23.9;5;32.71
28.5;88;1;1681;91;29.302;23.9;5;32.868
28.5;88;1;1692.2;90.8;29.73;25.5;5.5;32.868
28.5;88;1;1702.2;90.1;29.73;25.5;5.5;32.868
28.5;88;1;1710.8;89.7;29.73;25.5;5.5;32.868
28.5;88;1;1723.1;89.9;29.73;25.5;5.5;32.868
28.5;88;1;1733.2;90.4;29.73;25.5;5.5;32.868
28.5;88;1;1740;89.3;29.73;25.5;5.5;32.505
28.5;88;1;1751.1;88.8;28.698;25.5;6;32.166
28.5;88;1;1760.5;89;28.67;23.5;6;32.166
28.5;88;1;1769.1;89.1;28.67;23.5;6;32.166
28.5;88;1;1780.7;88.1;28.67;23.5;6;32.166
28.5;88;1;1787.8;87.7;28.67;23.5;6;32.166
28.5;88;1;1799.2;89.1;28.67;23.5;6;31.868
28.5;88;1;1808.2;87.6;24.122;23.5;6;31.403
28.5;88;1;1818.3;86.8;23.6;22;8;31.403
28.5;88;1;1828;88.8;23.6;22;8;31.403
28.5;88;1;1835.7;88.7;23.6;22;8;31.403
29.5;88;1;1847.2;88.7;23.6;22;8;31.403
29.5;88;1;1853.3;88.9;23.6;22;8;31.403
29.5;88;1;1861.5;86.6;23.986;22;8;31.373
29.5;88;1;1873.8;87.1;27.58;22.5;8;31.373
29.5;88;1;1879.6;88.2;27.58;22.7;8;31.373
29.5;88;1;1890.5;87.3;27.58;22.7;8;31.373
29.5;88;1;1901.1;87.5;27.58;22.7;8;31.373
29.5;89;1;1912.9;87.4;27.58;22.7;8;31.373
29.5;89;1;1920.5;87.1;27.58;22.7;8;31.444
29.5;89;1;1929.4;87;27.226;22.7;8.2;31.495
29.5;89;1;1939.7;87.2;25.62;22.7;9;31.495
29.5;89;1;1949.3;87.1;25.62;22.7;9;31.495
29.5;89;1;1960.5;87.1;25.62;22.7;9;31.495
29.9;89;1;1968.8;86.5;25.62;22.7;9;31.495
30;89;1;1978.7;88.1;25.62;22.7;9;31.495
30;89;1;1989;87.8;25.63;22.7;9;31.25
30;89;1;1998.4;87.7;28.57;22.5;10;31.25
30;89;1;2006;87.8;28.57;22.4;10.5;31.25
30;89;1;2016.7;85.9;28.57;22.4;10.5;31.25
30;89;1;2023.8;85.9;28.57;22.4;10.5;31.25
30;89;1;2033.6;86.6;28.57;22.4;10.5;31.25
30;89;1;2044.2;87.4;28.57;22.4;10.5;31.228
30;89;1;2054.9;86.1;28.57;22.4;10.5;31.037
30;89;1;2062.6;86.3;33.4;22.1;10;31.037
30;89;1;2072.6;86.2;33.4;22;10;31.037
30;89;1;2082.9;86;33.4;22;10;31.037
30;89;1;2092;85.8;33.4;22;10;31.037
30;89;1;2095.3;85.5;33.4;22;10;31.037
30;89;1;2101.9;84.8;33.4;22;10;30.959
30;89;1;2117.2;85.5;28.105;22;10;30.701
30;89;1;2128;84.6;28.03;21.6;10;30.701
30;89;1;2132.1;85.4;28.03;21.6;10;30.701
30;89;1;2138.6;84.6;28.03;21.6;10;30.701
30;89;1;2145.9;84.4;28.03;21.6;10;30.701
30;89;1;2159.5;85.1;28.03;21.6;10;30.701
30;89;1;2165.5;84.6;28.03;21.6;10;30.322
